,freight_value,price,payment_value,payment_installments,payment_sequential
20549,18.23,45.0,63.23,1,1
96866,7.87,32.5,40.37,1,1
51608,12.87,195.9,417.54,1,1
20676,22.41,76.0,479.22,2,1
98133,15.1,25.9,41.0,1,1
69733,56.79,899.0,955.79,8,1
38112,1.55,38.9,353.4,5,1
72244,12.82,53.99,66.81,1,1
56069,0.62,61.9,795.95,1,1
40836,18.21,57.9,76.11,1,1
56158,22.9,139.0,161.9,2,1
40808,16.6,39.9,113.0,1,1
15866,12.25,107.0,119.25,1,1
10947,14.43,117.3,131.73,2,1
72967,15.93,119.3,269.97,6,1
42247,26.74,94.9,121.64,6,1
10330,36.39,179.9,216.29,10,1
13464,35.0,429.98,464.98,9,1
3733,23.11,55.2,78.31,4,1
7329,17.96,29.99,95.9,1,1
24571,9.74,48.9,58.64,1,1
5222,43.5,79.99,123.49,2,1
39657,11.85,15.9,55.5,5,1
97932,15.1,49.0,128.2,2,1
84676,17.67,59.9,77.57,3,1
59554,16.15,63.9,80.05,1,1
75323,19.43,370.0,250.0,1,2
21333,23.77,169.9,193.67,8,1
73792,18.39,279.0,297.39,9,1
82123,11.85,46.0,115.7,1,1
38012,12.79,49.95,125.48,2,1
83474,16.14,54.4,70.54,3,1
27407,8.79,39.97,48.76,1,1
43257,25.95,158.0,183.95,5,1
75420,14.11,17.82,31.93,1,1
6456,41.12,289.0,330.12,1,1
83610,16.63,125.0,141.63,7,1
53745,17.59,269.0,286.59,2,1
73270,12.48,69.9,82.38,3,1
89444,17.74,69.9,175.28,1,1
83075,32.85,150.0,182.85,3,1
29632,24.74,120.0,542.98,10,1
89827,11.33,164.9,176.23,1,1
29497,14.13,59.9,74.03,3,1
16240,18.99,405.9,424.89,4,1
108222,17.05,229.9,987.8,18,1
47148,9.77,149.99,159.76,1,1
102919,58.78,99.99,158.77,3,1
8968,20.16,95.9,348.18,1,1
1841,50.0,59.9,109.9,8,1
18686,15.38,89.9,105.28,1,1
37617,13.66,75.78,29.89,1,1
56187,16.79,23.9,162.76,2,1
102456,11.85,19.99,31.84,3,1
17954,128.44,126.0,254.44,10,1
69095,22.28,81.25,103.53,1,1
31441,8.95,29.0,37.95,1,1
37854,34.45,39.99,148.88,2,1
81937,14.1,49.9,64.0,1,1
23465,15.1,11.35,26.45,1,1
80026,14.15,56.99,142.28,1,1
52150,33.48,146.99,180.47,3,1
81939,8.72,49.9,51.22,5,1
47104,20.0,299.99,319.99,5,1
55315,15.1,24.98,120.24,8,1
3418,16.6,31.8,290.4,5,1
14424,12.48,16.5,28.98,1,1
8620,15.62,74.9,90.52,1,1
108707,13.38,50.9,64.28,4,1
