,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
25776,sao jose dos pinhais,PR,2018-06-20 16:51:23,2018-06-20 17:21:20,2018-06-21 12:51:00,2018-06-28 13:48:32,2018-07-17,5,Otimo,O produto veio exatamente como no anúncio gostei muito obrigada,2018-06-29 00:00:00,2018-06-29 17:56:30,2018-06-26 17:21:20,64.99,18.56,57.0,121.0,1.0,1650.0,1,credit_card,1,83.55,ibitinga,SP,baby,Fashion,24960.0,27,8,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
55446,dourado,SP,2018-04-04 17:42:30,2018-04-06 03:15:40,2018-04-07 01:44:47,2018-04-16 17:52:30,2018-04-30,4,,,2018-04-17 00:00:00,2018-04-21 17:34:14,2018-04-12 03:15:40,149.9,53.18,48.0,894.0,1.0,533.0,1,boleto,1,203.08,recife,PE,computers_accessories,Electronics,4840.0,26,12,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast
52684,uberaba,MG,2018-08-04 12:12:10,2018-08-04 12:25:19,2018-08-07 13:34:00,2018-08-14 17:33:50,2018-08-23,5,,,2018-08-15 00:00:00,2018-08-15 23:31:14,2018-08-08 12:25:19,87.97,27.57,53.0,1187.0,4.0,1400.0,1,credit_card,11,115.54,jaragua do sul,SC,cool_stuff,Fashion,3600.0,19,10,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
75927,sao paulo,SP,2018-07-01 23:51:44,2018-07-02 00:09:49,2018-07-03 07:20:00,2018-07-04 00:54:46,2018-07-16,5,Pontualidade excelente ,,2018-07-04 00:00:00,2018-07-04 23:09:57,2018-07-04 00:09:49,34.9,11.26,58.0,704.0,1.0,2250.0,1,credit_card,1,46.16,ribeirao pires,SP,health_beauty,Beauty & Health,3300.0,15,3,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
9713,sao bernardo do campo,SP,2018-05-22 15:30:20,2018-05-22 15:58:46,2018-05-23 14:16:00,2018-06-01 20:38:48,2018-06-08,5,,,2018-06-02 00:00:00,2018-06-02 23:45:32,2018-05-28 15:58:46,64.8,12.89,56.0,2019.0,2.0,600.0,1,credit_card,2,155.38,botucatu,SP,furniture_decor,Furniture,5880.0,17,10,9,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
74882,alambari,SP,2018-07-24 17:56:35,2018-07-26 03:10:26,2018-07-26 15:30:00,2018-07-30 23:08:44,2018-08-16,5,Recomendo,muito bom,2018-07-31 00:00:00,2018-08-04 10:08:19,2018-07-30 03:10:26,89.9,23.43,49.0,451.0,3.0,1150.0,1,boleto,1,113.33,londrina,PR,health_beauty,Beauty & Health,5544.0,23,6,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
97823,sao paulo,SP,2018-05-16 15:57:12,2018-05-16 16:14:57,2018-05-17 12:36:00,2018-05-18 17:05:30,2018-05-24,4,,,2018-05-19 00:00:00,2018-05-21 13:11:44,2018-05-18 16:14:57,69.9,11.15,55.0,600.0,1.0,817.0,1,credit_card,1,81.05,sao paulo,SP,electronics,Electronics,9520.0,8,2,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
70608,sao paulo,SP,2017-09-18 12:46:24,2017-09-18 13:04:18,2017-09-19 13:38:35,2017-09-20 18:42:24,2017-10-02,5,,,2017-09-21 00:00:00,2017-09-22 10:03:11,2017-09-26 13:04:18,89.99,7.88,59.0,492.0,3.0,250.0,1,credit_card,2,97.87,santo andre,SP,health_beauty,Beauty & Health,3960.0,14,2,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
71645,jundiai,SP,2018-05-01 09:36:46,2018-05-01 09:57:05,2018-05-03 11:09:00,2018-05-10 20:48:34,2018-05-28,5,EXCELENTE.,Chegou dentro do prazo recomendo sim. Vou coneçar a usar. Obrigada stark.,2018-05-11 00:00:00,2018-05-12 00:25:18,2018-05-07 09:57:05,64.99,27.51,50.0,1257.0,1.0,350.0,1,credit_card,5,92.5,sao luis,MA,health_beauty,Beauty & Health,2964.0,27,9,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
7474,matao,SP,2018-04-04 22:22:50,2018-04-06 03:10:31,2018-04-09 23:44:27,2018-04-17 15:29:32,2018-05-02,5,,,2018-04-18 00:00:00,2018-04-18 23:52:11,2018-04-12 03:10:31,18.75,18.23,55.0,320.0,1.0,850.0,1,boleto,1,73.96,curitiba,PR,furniture_decor,Furniture,2200.0,28,13,8,OnTime/Early,OnTime/Early,Slow,Fast,Fast
