iter	Logloss
0	0.6659670384
1	0.6502313524
2	0.6391486393
3	0.6283230118
4	0.6213171827
5	0.6119144676
6	0.6071153801
7	0.6010698834
8	0.5980085368
9	0.593718941
10	0.5894481525
11	0.5840610803
12	0.5823462829
13	0.5812270725
14	0.5770493679
15	0.5743292409
16	0.5734463184
17	0.5703887205
18	0.5686431854
19	0.5679278048
20	0.5667394751
21	0.5653461865
22	0.5632559057
23	0.5608236014
24	0.5594773207
25	0.5588661636
26	0.5583792531
27	0.5553575377
28	0.5513861816
29	0.5503443665
30	0.5486935511
31	0.5483873795
32	0.5477056206
33	0.5470554263
34	0.5466793081
35	0.5456259336
36	0.5451462416
37	0.5431681117
38	0.5412222481
39	0.5406878748
40	0.539776676
41	0.5394701436
42	0.5388040578
43	0.5382023123
44	0.5373143335
45	0.5359609693
46	0.5356505704
47	0.533761145
48	0.5328498048
49	0.5321278157
50	0.531386899
51	0.5308912787
52	0.52978037
53	0.5293594054
54	0.5289670441
55	0.5285617669
56	0.5275993326
57	0.5271258877
58	0.5264373697
59	0.5259441227
60	0.5247549492
61	0.524241619
62	0.5226670589
63	0.5215496932
64	0.5199514901
65	0.5192915196
66	0.5187217298
67	0.5182305851
68	0.5165008857
69	0.5160066501
70	0.5155496608
71	0.5146949506
72	0.5138165797
73	0.5133019652
74	0.5120538108
75	0.5116311533
76	0.5110693108
77	0.5098521318
78	0.5095069733
79	0.5089879765
80	0.5086000787
81	0.5081773138
82	0.5073754265
83	0.5066540288
84	0.506097348
85	0.5055651824
86	0.5051704121
87	0.5047703423
88	0.5042389384
89	0.5037375613
90	0.5032261511
91	0.502915448
92	0.5024497857
93	0.5018952133
94	0.5014280392
95	0.5008950275
96	0.500424818
97	0.4998883539
98	0.4994079843
99	0.4986558859
100	0.4982551613
101	0.4978578265
102	0.4974109405
103	0.4971107416
104	0.4967223668
105	0.4962083083
106	0.4957290284
107	0.4952699324
108	0.4948137336
109	0.4943948487
110	0.493975394
111	0.4937029829
112	0.4932321062
113	0.4928967614
114	0.4926344692
115	0.4920884061
116	0.4916517373
117	0.4911709276
118	0.4904096955
119	0.4900832028
120	0.4897431868
121	0.4893067374
122	0.4890562514
123	0.4886700097
124	0.4884211013
125	0.4881249967
126	0.4879223429
127	0.4876474377
128	0.4873775074
129	0.4867817487
130	0.4864719095
131	0.4860950883
132	0.4858045025
133	0.4853450989
134	0.4850313304
135	0.4847596217
136	0.4845597612
137	0.484262389
138	0.484023905
139	0.4836639487
140	0.4833195662
141	0.4829890536
142	0.4826393965
143	0.4823253095
144	0.4819894068
145	0.481679805
146	0.4810094107
147	0.4805907391
148	0.4803040336
149	0.4798468674
150	0.4795628774
151	0.4792147496
152	0.4789206577
153	0.4784669832
154	0.4781944057
155	0.4778259889
156	0.4774734218
157	0.4769461214
158	0.4767018607
159	0.4764353708
160	0.4760515955
161	0.4758204793
162	0.475482249
163	0.4750782929
164	0.4748542942
165	0.4745780696
166	0.4743097794
167	0.4741247228
168	0.4738123097
169	0.4734723146
170	0.473198018
171	0.4729859512
172	0.4725249952
173	0.4722054285
174	0.4719609815
175	0.4716569764
176	0.4709539327
177	0.4707195569
178	0.4704238751
179	0.4702685693
180	0.4700471511
181	0.4697590805
182	0.4694500202
183	0.4692207704
184	0.4689976755
185	0.4685655565
186	0.4682878823
187	0.4680469844
188	0.467804737
189	0.4673109335
190	0.4669681742
191	0.4667681075
192	0.46654682
193	0.4663563879
194	0.4660311548
195	0.4658342691
196	0.46558067
197	0.4652472393
198	0.4648671916
199	0.464638311
