iter	Passed	Remaining
0	103	20622
1	157	15604
2	200	13155
3	242	11902
4	288	11266
5	330	10681
6	375	10349
7	423	10167
8	478	10154
9	538	10232
10	588	10112
11	641	10052
12	691	9940
13	736	9778
14	782	9654
15	824	9476
16	866	9324
17	915	9256
18	977	9311
19	1079	9719
20	1134	9666
21	1196	9683
22	1240	9547
23	1289	9457
24	1342	9395
25	1393	9328
26	1463	9376
27	1722	10581
28	1808	10662
29	2057	11656
30	2483	13538
31	2542	13346
32	2600	13161
33	2671	13042
34	2729	12868
35	2811	12808
36	2907	12809
37	2960	12623
38	3013	12440
39	3061	12245
40	3107	12051
41	3153	11862
42	3203	11696
43	3248	11516
44	3294	11348
45	3340	11181
46	3384	11016
47	3455	10941
48	3504	10800
49	3549	10647
50	3613	10556
51	3742	10652
52	3821	10600
53	3895	10531
54	3962	10445
55	4022	10344
56	4123	10343
57	4212	10312
58	4569	10920
59	4671	10900
60	4917	11205
61	5068	11280
62	5146	11192
63	5267	11193
64	5315	11038
65	5359	10881
66	5416	10752
67	5471	10621
68	5547	10532
69	5634	10463
70	5711	10377
71	5765	10248
72	5835	10152
73	5888	10026
74	5930	9883
75	5969	9739
76	6011	9602
77	6061	9481
78	6113	9364
79	6297	9446
80	6443	9465
81	6512	9372
82	6664	9394
83	6750	9321
84	6797	9196
85	6840	9068
86	6885	8943
87	6931	8822
88	6977	8702
89	7042	8607
90	7112	8518
91	7163	8409
92	7220	8307
93	7269	8197
94	7329	8100
95	7397	8013
96	7514	7978
97	7624	7935
98	7775	7932
99	7925	7925
100	8060	7901
101	8163	7843
102	8412	7922
103	8489	7836
104	8549	7734
105	8603	7629
106	8653	7521
107	8725	7432
108	8778	7328
109	8840	7233
110	8901	7137
111	9010	7079
112	9088	6997
113	9193	6935
114	9326	6893
115	9485	6868
116	9603	6812
117	9674	6723
118	9732	6624
119	9777	6518
120	9821	6412
121	9867	6308
122	9913	6206
123	9957	6102
124	10003	6001
125	10055	5905
126	10101	5806
127	10257	5769
128	10367	5705
129	10416	5608
130	10479	5519
131	10523	5421
132	10568	5323
133	10658	5249
134	10793	5196
135	10889	5124
136	10961	5040
137	11020	4951
138	11082	4863
139	11172	4788
140	11268	4715
141	11371	4644
142	11454	4565
143	11517	4479
144	11581	4393
145	11662	4313
146	11764	4241
147	11841	4160
148	11920	4080
149	12082	4027
150	12137	3938
151	12192	3850
152	12244	3761
153	12322	3680
154	12381	3594
155	12427	3505
156	12476	3417
157	12520	3328
158	12562	3239
159	12604	3151
160	12646	3063
161	12687	2976
162	12739	2891
163	12827	2815
164	12999	2757
165	13148	2693
166	13256	2619
167	13392	2550
168	13443	2465
169	13496	2381
170	13541	2296
171	13584	2211
172	13643	2129
173	13812	2063
174	13963	1994
175	14031	1913
176	14082	1829
177	14140	1747
178	14190	1664
179	14241	1582
180	14307	1501
181	14671	1451
182	14771	1372
183	15142	1316
184	15254	1236
185	15320	1153
186	15381	1069
187	15491	988
188	15577	906
189	15695	826
190	15890	748
191	16022	667
192	16109	584
193	16223	501
194	16300	417
195	16381	334
196	16434	250
197	16585	167
198	16859	84
199	16937	0
